Generation,Cohesion,Alignment,Separation,Fitness
12,39.81312,0.20447232000000004,0.5308416000000001,0.9958056327822002
12,39.81312,0.13631488000000003,0.3538944000000001,0.9866999674078145
12,26.542080000000006,0.20447232000000004,0.5308416000000001,0.9864291110629873
12,59.71968,0.13631488000000003,0.5308416000000001,0.9777630702424358
12,39.81312,0.20447232000000004,0.5308416000000001,0.9747086758639314
12,57.3308928,0.13086228480000003,0.2264924160000001,0.9614276004500127
12,39.81312,0.20447232000000004,0.3538944000000001,0.957067559329475
12,57.3308928,0.13086228480000003,0.2264924160000001,0.9553932065371499
12,26.542080000000006,0.13631488000000003,0.5308416000000001,0.22183421572337497
13,38.220595200000005,0.13086228480000003,0.2264924160000001,0.9994540023980923
13,31.850496000000007,0.10905190400000003,0.2831155200000001,0.9993942699477888
13,47.775744,0.10905190400000003,0.4246732800000001,0.9991894493951701
13,47.775744,0.16357785600000002,0.4246732800000001,0.9988067585344996
13,59.71968,0.13631488000000003,0.3538944000000001,0.998322500447113
13,39.813120000000005,0.13631488000000003,0.3538944000000001,0.9982102553932077
13,71.66361599999999,0.16357785600000002,0.4246732800000001,0.9980495069968706
13,31.850496000000007,0.10905190400000003,0.4246732800000001,0.997749051237365
13,26.542080000000006,0.13631488000000003,0.3538944000000001,0.9977441285935938
13,38.220595200000005,0.08724152320000003,0.3397386240000001,0.9976660718810639
13,31.850496000000007,0.10905190400000003,0.2831155200000001,0.9973548854002059
13,31.850496000000007,0.10905190400000003,0.2831155200000001,0.9971425801913393
13,47.775744,0.10905190400000003,0.4246732800000001,0.9966166607793927
13,25.48039680000001,0.13086228480000003,0.5096079360000001,0.9949737087418341
13,31.850496000000007,0.16357785600000002,0.2831155200000001,0.9814665356575584
13,38.220595200000005,0.13086228480000003,0.2264924160000001,0.9703428759880376
13,71.66361599999999,0.16357785600000002,0.2831155200000001,0.9696664588153993
13,38.220595200000005,0.13086228480000003,0.3397386240000001,0.9465622946263561
13,47.775744,0.10905190400000003,0.4246732800000001,0.936988786319505
13,38.220595200000005,0.08724152320000003,0.33973862400000016,0.06585519773776193
14,25.48039680000001,0.13086228480000003,0.2264924160000001,0.9995881066752852
14,47.775744,0.10905190400000003,0.4246732800000001,0.9993897105063083
14,38.220595200000005,0.08724152320000003,0.2264924160000001,0.9991216659507425
14,59.71968,0.13631488000000003,0.3538944000000001,0.9991150417067768
14,38.220595200000005,0.08724152320000003,0.3397386240000001,0.9990724621606246
14,47.775744,0.16357785600000002,0.4246732800000001,0.9987127178307186
14,38.220595200000005,0.13086228480000003,0.2264924160000001,0.9986496897363647
14,57.3308928,0.1962934272,0.5096079360000001,0.9979675608858755
14,31.850496000000007,0.10905190400000003,0.2831155200000001,0.9977589262878701
14,38.220595200000005,0.1962934272,0.3397386240000001,0.9963363910915961
14,25.48039680000001,0.08724152320000003,0.33973862400000016,0.9957059744063955
14,30.576476160000006,0.15703474176000004,0.2717908992000001,0.9937322611447132
14,71.66361599999999,0.16357785600000002,0.4246732800000001,0.979974827142572
14,45.864714240000005,0.10468982784000003,0.1811939328000001,0.9701519074633282
14,45.864714240000005,0.15703474176000004,0.1811939328000001,0.943732775866366
14,57.3308928,0.13086228480000003,0.3397386240000001,0.9401108897212127
